Dates,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
2003-05-30,MRPL IN Equity,IDBI IN Equity,MCF IN Equity,BRPL IN Equity,JI IN Equity,HMFC IN Equity,HOE IN Equity,IFCI IN Equity,MRL IN Equity,JSTL IN Equity,FB IN Equity,KBL IN Equity,ICEM IN Equity,SBBJ IN Equity,TLDI IN Equity,OBC IN Equity,IPCA IN Equity,VJYBK IN Equity,PNB IN Equity,ARVND IN Equity
2003-06-30,WLCO IN Equity,KOP IN Equity,JSWISPL IN Equity,ARR IN Equity,PVPV IN Equity,KS IN Equity,CESC IN Equity,NFL IN Equity,JSWI IN Equity,VL IN Equity,GEPIL IN Equity,LPC IN Equity,ABAN IN Equity,JSAW IN Equity,ORCP IN Equity,ESRS IN Equity,SAPH IN Equity,EXL IN Equity,SAIL IN Equity,SOTL IN Equity
2003-07-31,MRLN IN Equity,NLL IN Equity,AXSB IN Equity,IVRC IN Equity,TATASTL IN Equity,KOBO IN Equity,JYS IN Equity,JPO IN Equity,ALOK IN Equity,HZ IN Equity,BCORP IN Equity,FLFD IN Equity,FML IN Equity,ELEQ IN Equity,BRPL IN Equity,VJYBK IN Equity,JSWI IN Equity,MAN IN Equity,MM IN Equity,SAIL IN Equity
2003-08-29,IFCI IN Equity,SAIL IN Equity,MRPL IN Equity,UVSL IN Equity,BRPL IN Equity,BEPL IN Equity,MORE IN Equity,OMAX IN Equity,HEXW IN Equity,JSTL IN Equity,OPTC IN Equity,FDCLT IN Equity,JSP IN Equity,IPCA IN Equity,HOE IN Equity,FLFD IN Equity,ESRS IN Equity,CGPOWER IN Equity,TTLS IN Equity,ELDP IN Equity
2003-09-30,BEML IN Equity,HCLI IN Equity,JUBLPHARIN Equity,VEDL IN Equity,FML IN Equity,WLCO IN Equity,GALK IN Equity,MBI IN Equity,ARBP IN Equity,HZ IN Equity,TNNP IN Equity,ABAN IN Equity,PPC IN Equity,EMCO IN Equity,ALBC IN Equity,JSAW IN Equity,OFSS IN Equity,ELDP IN Equity,OBC IN Equity,SUBX IN Equity
2003-10-31,CESC IN Equity,BD IN Equity,DCW IN Equity,STLT IN Equity,PPC IN Equity,MM IN Equity,VJYBK IN Equity,ALOK IN Equity,GIP IN Equity,MBI IN Equity,TATA IN Equity,MAN IN Equity,IGLY IN Equity,NJCC IN Equity,IDBI IN Equity,GRASIM IN Equity,BOB IN Equity,SCI IN Equity,LICHF IN Equity,HEXW IN Equity
2003-11-28,AMFG IN Equity,INTEC IN Equity,STLT IN Equity,SHDSL IN Equity,FPL IN Equity,JYS IN Equity,TATASTL IN Equity,GIP IN Equity,VRNS IN Equity,TTLS IN Equity,IGLY IN Equity,ICEM IN Equity,GESCO IN Equity,MAN IN Equity,VEDL IN Equity,HZ IN Equity,IVRC IN Equity,SCI IN Equity,WLSI IN Equity,BCORP IN Equity
2003-12-31,JPO IN Equity,NJCC IN Equity,GNP IN Equity,TLDI IN Equity,AXSB IN Equity,JSP IN Equity,JSWISPL IN Equity,INSW IN Equity,SIEM IN Equity,JKBK IN Equity,PVPV IN Equity,KOP IN Equity,GAIL IN Equity,KS IN Equity,GMDC IN Equity,GNC IN Equity,WLSI IN Equity,SUBX IN Equity,ARBP IN Equity,IVRC IN Equity
2004-01-30,RCF IN Equity,HCLI IN Equity,BHARTI IN Equity,UL IN Equity,VJYBK IN Equity,TPWR IN Equity,AXSB IN Equity,TTMT IN Equity,FML IN Equity,GRASIM IN Equity,IDBI IN Equity,GNC IN Equity,IFCI IN Equity,MRPL IN Equity,GSFC IN Equity,MM IN Equity,GNP IN Equity,PVPV IN Equity,ALOK IN Equity,EMCO IN Equity
2004-02-27,RELI IN Equity,CAST IN Equity,ZYDUSLIFIN Equity,DIVI IN Equity,BIL IN Equity,JKBK IN Equity,IPCA IN Equity,OBC IN Equity,HDPH IN Equity,FDCLT IN Equity,EMCO IN Equity,MM IN Equity,KOP IN Equity,SIEM IN Equity,JPO IN Equity,VJYBK IN Equity,LPC IN Equity,BD IN Equity,TATA IN Equity,BHARTI IN Equity
2004-03-31,MRL IN Equity,FB IN Equity,IOB IN Equity,GNC IN Equity,HCLI IN Equity,GSFC IN Equity,IVRC IN Equity,MRLN IN Equity,BCORP IN Equity,SLT IN Equity,TMX IN Equity,KFL IN Equity,IOCL IN Equity,EMCO IN Equity,ALBC IN Equity,VJYBK IN Equity,TPWR IN Equity,BHARTI IN Equity,BOB IN Equity,BRPL IN Equity
2004-04-30,DSM IN Equity,PSLL IN Equity,CAST IN Equity,BCORP IN Equity,BJH IN Equity,BRCM IN Equity,STSG IN Equity,SINT IN Equity,TATASTL IN Equity,IIB IN Equity,ELDP IN Equity,KOP IN Equity,LPC IN Equity,SAPH IN Equity,WLCO IN Equity,WPL IN Equity,GSFC IN Equity,TATASLPL IN Equity,TTLS IN Equity,SHDSL IN Equity
2004-05-31,MAXF IN Equity,JDPF IN Equity,MPHL IN Equity,ARTO IN Equity,VL IN Equity,EDC IN Equity,TTLS IN Equity,ALOK IN Equity,GNP IN Equity,IIB IN Equity,ZYDUSLIFIN Equity,WLSI IN Equity,BD IN Equity,DIVI IN Equity,PFSW IN Equity,HAVL IN Equity,HDPH IN Equity,GESCO IN Equity,MM IN Equity,BOS IN Equity
2004-06-30,TLDI IN Equity,KSLD IN Equity,TATASTL IN Equity,ABAN IN Equity,ATCP IN Equity,AXSB IN Equity,GESCO IN Equity,MRLN IN Equity,SCI IN Equity,SLT IN Equity,RELI IN Equity,GSFC IN Equity,IOB IN Equity,BHEL IN Equity,KS IN Equity,SIEM IN Equity,JSAW IN Equity,SINT IN Equity,HEXW IN Equity,VEDL IN Equity
2004-07-30,INAC IN Equity,UTTM IN Equity,TATASLPL IN Equity,GNC IN Equity,BJH IN Equity,SINT IN Equity,ADE IN Equity,VEDL IN Equity,GALK IN Equity,MAN IN Equity,PRJ IN Equity,TATASTL IN Equity,BEML IN Equity,JSWISPL IN Equity,GIP IN Equity,VL IN Equity,GMDC IN Equity,JSWI IN Equity,DSM IN Equity,MRLN IN Equity
2004-08-31,BRAE IN Equity,HOE IN Equity,JKLC IN Equity,ABAN IN Equity,HEIM IN Equity,ERIE IN Equity,JSWISPL IN Equity,PRJ IN Equity,MGC IN Equity,DSM IN Equity,IGLY IN Equity,TTAN IN Equity,KS IN Equity,LML IN Equity,KSI IN Equity,BCORP IN Equity,BDE IN Equity,SINT IN Equity,SRF IN Equity,BJH IN Equity
2004-09-30,SVOG IN Equity,ISL IN Equity,ZSS IN Equity,JCPL IN Equity,OIL IN Equity,GNP IN Equity,OPTC IN Equity,SEAM IN Equity,MRLN IN Equity,UL IN Equity,MRZI IN Equity,BRAE IN Equity,SPET IN Equity,INAC IN Equity,BEML IN Equity,AFTK IN Equity,HCBA IN Equity,HOE IN Equity,INSW IN Equity,CAST IN Equity
2004-10-29,OPTC IN Equity,ISL IN Equity,CCLP IN Equity,GNC IN Equity,MRKS IN Equity,INSW IN Equity,PRJ IN Equity,RALI IN Equity,ZSS IN Equity,GALK IN Equity,MRZI IN Equity,BILC IN Equity,MRL IN Equity,BDE IN Equity,PNCB IN Equity,RDCK IN Equity,RCP IN Equity,ARTD IN Equity,MUS IN Equity,FPL IN Equity
2004-11-30,SJET IN Equity,UNSP IN Equity,PFSW IN Equity,NPFL IN Equity,HLV IN Equity,TRID IN Equity,TRENT IN Equity,63MOONS IN Equity,RALI IN Equity,KOBO IN Equity,SHAW IN Equity,SRF IN Equity,PNCB IN Equity,NSM IN Equity,ARVND IN Equity,MRLN IN Equity,JSWI IN Equity,IOB IN Equity,MUS IN Equity,PPC IN Equity
2004-12-31,HMFC IN Equity,LVB IN Equity,DSM IN Equity,CIS IN Equity,KBL IN Equity,BOR IN Equity,HAVL IN Equity,HM IN Equity,BJH IN Equity,ARTO IN Equity,GSCL IN Equity,PRSMJ IN Equity,MCF IN Equity,GNC IN Equity,GNP IN Equity,GDSP IN Equity,JCT IN Equity,IFCI IN Equity,SJET IN Equity,JKBK IN Equity
2005-01-31,SJET IN Equity,BJH IN Equity,DSM IN Equity,LIIL IN Equity,SREI IN Equity,63MOONS IN Equity,VEDL IN Equity,BCORP IN Equity,MAXF IN Equity,BHFC IN Equity,CCLP IN Equity,GSFC IN Equity,PATANJALIN Equity,PRJ IN Equity,CAST IN Equity,HMFC IN Equity,ALBC IN Equity,BRGR IN Equity,JSWISPL IN Equity,HLV IN Equity
2005-02-28,MLIFE IN Equity,BSEL IN Equity,LKEF IN Equity,SHAW IN Equity,KS IN Equity,JKI IN Equity,GNC IN Equity,MGSF IN Equity,CEAT IN Equity,ABAN IN Equity,HM IN Equity,JCT IN Equity,CENT IN Equity,MUK IN Equity,SKF IN Equity,EMCO IN Equity,CYL IN Equity,PFSW IN Equity,UNSP IN Equity,VEDL IN Equity
2005-03-31,PATANJALIN Equity,UTTM IN Equity,KPP IN Equity,RJEX IN Equity,UNSP IN Equity,GTO IN Equity,ALBK IN Equity,MAXF IN Equity,TATASTL IN Equity,GMON IN Equity,NJCC IN Equity,BD IN Equity,STSG IN Equity,IVRC IN Equity,ANDB IN Equity,BOI IN Equity,MUK IN Equity,HCC IN Equity,HOE IN Equity,ABAN IN Equity
2005-04-29,GETD IN Equity,BEML IN Equity,SRF IN Equity,RIIL IN Equity,AWL IN Equity,GEPIL IN Equity,HOE IN Equity,HCC IN Equity,ESAB IN Equity,UNSP IN Equity,HAVL IN Equity,KPP IN Equity,HLV IN Equity,NJCC IN Equity,LKEF IN Equity,LIIL IN Equity,EMCO IN Equity,JSAW IN Equity,CENT IN Equity,UVSL IN Equity
2005-05-31,GDSP IN Equity,JBF IN Equity,SJET IN Equity,SKNL IN Equity,BSEL IN Equity,ALPI IN Equity,LKEF IN Equity,PATANJALIN Equity,KBL IN Equity,GMON IN Equity,BOI IN Equity,TTAN IN Equity,AWL IN Equity,NSM IN Equity,KMB IN Equity,TRENT IN Equity,HAVL IN Equity,HMFC IN Equity,IVRC IN Equity,SREI IN Equity
2005-06-30,ASAM IN Equity,RCAPT IN Equity,CRSA IN Equity,HMIT IN Equity,63MOONS IN Equity,RMW IN Equity,PRJ IN Equity,GTO IN Equity,ITI IN Equity,GHCL IN Equity,SRF IN Equity,RIIL IN Equity,TTAN IN Equity,BRGR IN Equity,SKNL IN Equity,NDTV IN Equity,KS IN Equity,ADF IN Equity,JAO IN Equity,AWL IN Equity
2005-07-29,ITI IN Equity,KLGS IN Equity,TCOM IN Equity,HMT IN Equity,63MOONS IN Equity,HAVL IN Equity,APTR IN Equity,SRF IN Equity,KBL IN Equity,EID IN Equity,CRSA IN Equity,BOI IN Equity,BJH IN Equity,GETD IN Equity,RMKF IN Equity,SNDB IN Equity,MLIFE IN Equity,LIIL IN Equity,BRCM IN Equity,TTAN IN Equity
2005-08-31,SPAN IN Equity,ERIE IN Equity,GHCL IN Equity,BSEL IN Equity,UFLX IN Equity,GEOD IN Equity,CIS IN Equity,EDC IN Equity,CRSA IN Equity,HEIM IN Equity,USM IN Equity,HCC IN Equity,UVSL IN Equity,SHY IN Equity,GMON IN Equity,MRLN IN Equity,SKNL IN Equity,PRJ IN Equity,NJCC IN Equity,TRENT IN Equity
